a,b,labels
C[C@H](CO)C1=C(O)c2ccc3c(c2C(=O)C1=O)CCCC3(C)C,O=C1CCC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,0
O=C1CCC[C@@H]2[C@H]3CCCN4CCC[C@@](O)(CN12)[C@H]34,COc1ccc([C@H]2COc3cc(O)ccc3C2=O)c(OC)c1OC,0
COc1cc2c(cc1OC)[C@H]1[C@@H](C)c3ccc4c(c3CN1CC2)OCO4,CCN1C[C@@]2(COC)[C@H]3[C@H](OC)[C@H]4[C@@H]1[C@]3([C@@H](OC)C[C@H]2O)[C@@H]1C[C@]2(O)[C@H](OC)C[C@@]4(OC(C)=O)[C@H]1[C@H]2OC(=O)c1ccc(OC)cc1,1
O=C1c2c(O)cc(O)cc2O[C@@H](c2ccc(O)c(O)c2)[C@H]1O,CCO[C@H]1O[C@@H]2CC[C@@H](C(=O)C2)[C@@]1(O)COC(=O)c1ccccc1,0
O=C1C[C@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21,CC(C)=CCc1cc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc(O)c1O,1
Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CC[C@@H](O)[C@]2(C)O,COC1=CC=C(C=C1OC)C(=O)OC1CCC2(C)C3CCC4[C@]5(O)C[C@H](O)[C@@]6(O)C(CN7CC(C)CCC7[C@@]6(C)O)[C@]5(O)C[C@]24O[C@]13O,1
COc1cc2cc(-c3ccc4ccc(=O)oc4c3)c(=O)oc2cc1O,CC(C)=CCc1c(O)ccc(-c2coc3cc(O)ccc3c2=O)c1O,1
Cc1cccc2c3c(ccc12)[C@@]1(C[C@@H](C)CO1)OCC3=O,OC[C@@H]1O[C@H](OOc2ccc3c(c2)OC[C@H]2c4cc5c(cc4O[C@@H]32)OCO5)[C@@H](O)[C@H](O)[C@@H]1O,0
C/C=C(/CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C,CC1(C)C=Cc2c(ccc([C@@H]3COc4cc(O)ccc4C3)c2O)O1,1
O=C(O)/C=C/c1ccc(O)c(O)c1/C=C/c1ccc(O)c(O)c1,C[C@H]1CC[C@H]2N(C1)C[C@@H]1[C@H](CC[C@H]3[C@@H]4CC(=O)[C@H]5C[C@@H](O)CC[C@]5(C)[C@H]4C[C@H]31)[C@]2(C)O,1
O=C1C=CC[C@@H]2[C@@H]3CCCN4CCC[C@H](CN12)[C@@H]34,O=C(O)[C@H]1O[C@@H](Oc2cc3oc(-c4ccccc4)cc(=O)c3c(O)c2O)[C@H](O)[C@@H](O)[C@@H]1O,0
CC(C)=CCc1c(O)cc(O)c2c(=O)c(O)c(-c3ccc(O)cc3)oc12,CCCCCCCC/C=C\CCCCCCCC(=O)OCC,0
C=C(CC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3)C(C)C,COc1c(/C=C/C(=O)c2ccc(O)cc2)ccc(O)c1O,1
CC(C)=CCC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3,O=C1C[C@@H](c2ccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3OC[C@](O)(COC(=O)c4c[nH]c5ccccc45)[C@@H]3O)cc2)Oc2cc(O)ccc21,1
CC1(C)C=Cc2c(ccc3c2O[C@H]2c4ccc(O)cc4OC[C@@H]32)O1,[H][C@@]12C[C@]34O[C@]5(O)[C@H](CC[C@@]3(C)[C@]5([H])C[C@@H](O)[C@@]4([H])[C@]1(O)[C@@H](OC(=O)[C@H](C)CC)[C@H](O)[C@@]1([H])[C@@]2([H])CN2C[C@@H](C)CC[C@@]2([H])[C@@]1(C)O)OC(=O)[C@@](C)(O)CC,1
COc1ccc2c(ccc3cc(OC)c(OC)c(OC)c32)c1,C=C1[C@@H]2C[C@]3([C@@H]4C[C@@H]5[C@]6([C@@H](O)CC[C@@]5(C)CN(CC)[C@H]46)[C@@H]3C[C@@H]2O)[C@@H]1O,1
c1cc2c(cc1[C@H]1OC[C@@H]3[C@H]1CO[C@H]3c1ccc3c(c1)OCO3)OCO2,OC[C@H]1O[C@@H](Oc2cc(O)cc(/C=C/c3ccc(O)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,1
CC(C)=CCC[C@@H](C)[C@@H]1CC[C@]2(C)C3=C(CC[C@@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3,O=C1C[C@H](c2ccc(O)cc2)Oc2cc(O)ccc21,1
CC(C)=CCC[C@H](C)[C@]1(C)CC[C@]2(C)C3=C(CC[C@]21C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3,O=C1C[C@@H](c2ccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc2)Oc2cc(O)ccc21,1
CC(C)=CCc1c(O)cc(O)c2c(=O)c(O)c(-c3ccc(O)cc3)oc12,COC1=CC(=CC(OC)=C1O)C1OCC2C1COC2C1=CC(OC)=C(O)C(OC)=C1,1
CC(C)=CCC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3,COc1ccc([C@@H]2COc3c(ccc4c3C=CC(C)(C)O4)C2)c(O)c1O,1
Cc1cccc2c3c(ccc12)C1=C(C(=O)C3=O)[C@H](C)CO1,C[C@]12C[C@]3(O)O[C@H](O1)[C@@]1(COC(=O)c4ccccc4)[C@@H]3C[C@@]21O[C@H]1O[C@@H](COC(=O)c2ccccc2)[C@H](O)[C@@H](O)[C@@H]1O,0
O=C1CCC[C@@H]2[C@@H]3C[C@@H](CN12)[C@@H]1CCCCN1C3,c1cc2c(cc1[C@H]1OC[C@@H]3[C@@H](c4ccc5c(c4)OCO5)OC[C@H]13)OCO2,0
CC(C)CCCCCOC(=O)c1ccccc1C(=O)OCCCCCC(C)C,Cc1ccc2c3c1CCCC(C)(C)[C@@]3(O)C(=O)C(C(C)C)=C2,0
O=C(O)[C@H]1O[C@@H](Oc2cc3oc(-c4ccccc4)cc(=O)c3c(O)c2O)[C@H](O)[C@@H](O)[C@@H]1O,OC[C@@H]1O[C@H](OOc2ccc3c(c2)OC[C@H]2c4cc5c(cc4O[C@@H]32)OCO5)[C@@H](O)[C@H](O)[C@@H]1O,0
CC(=O)C1=C[C@@H]2C=CC3=C(CCCC3(C)C)[C@H]2C=C1O,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2,0
CC(C)=CCC[C@@H](C)[C@H]1CC[C@]2(C)[C@@H]3CC=C4[C@@H](CC[C@H](O)C4(C)C)[C@]3(C)CC[C@]12C,C=C1[C@@H]2C[C@]3([C@@H]4C[C@@H]5[C@]6([C@@H](O)CC[C@@]5(C)CN(CC)[C@H]46)[C@@H]3C[C@@H]2O)[C@@H]1O,1
Cc1ccc2c3c1CCCC(C)(C)[C@@]3(O)C(=O)C(C(C)C)=C2,CC1(C)C=Cc2c(ccc3c2OC[C@@]2(O)c4ccc(O)cc4O[C@@H]32)O1,0
COc1ccc([C@H]2Oc3cc(O)ccc3C(=O)[C@@H]2O)cc1,COc1cc(C(=O)[C@@H](CO)c2ccc(O)c(OC)c2)ccc1O,0
O=C(O)CC(=O)OC[C@H]1O[C@@H](Oc2ccc3c(c2)OC[C@H]2c4cc5c(cc4O[C@@H]32)OCO5)[C@H](O)[C@@H](O)[C@@H]1O,COc1cc2c(cc1OC)C(=O)Cc1ccc3c(c1CN(C)CC2)OCO3,0
CC(C)=CCC[C@](C)(O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@@H]3CC[C@]12C,O=C1CCC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@H]34,0
CC1(C)CCC(=O)[C@@H]2C1=CC=C1C(=O)C=C(O)C(=O)[C@@H]12,C=Cc1ncc(OC)c2c3ccccc3n(OC)c12,0
Cc1cccc2c1ccc1c3c(oc(=O)c12)[C@@H](C)CO3,C[C@@]12C[C@@]3(O)O[C@@H](O1)[C@]1(COC(=O)c4ccccc4)[C@H]3C[C@]21O,0
CC1(C)[C@@H](OC(=O)c2ccccc2)CC[C@]2(C)C3=CC[C@@]4(C)[C@H]5C[C@@](C)(CO)CC[C@]5(C)CC[C@@]4(C)C3=CC[C@@H]12,C=C1[C@@H]2C[C@]3([C@@H]4C[C@@H]5[C@]6([C@@H](O)CC[C@@]5(C)CN(CC)[C@H]46)[C@@H]3C[C@@H]2O)[C@@H]1O,1
Cc1cccc2c3c(ccc12)C(=O)C1=C(OC[C@H](C)[C@@]1(C)CO)C3=O,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C,0
COc1cc(-c2oc3c(OC)cc(CCCO)cc3c2C=O)ccc1O,COc1cc2c(cc1O)O[C@@H]1c3ccc(O)cc3OC[C@H]21,0
CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CCC=C(C)C,CC1(C)C=Cc2c(ccc([C@@H]3COc4cc(O)cc(O)c4C3=O)c2O)O1,1
Cc1cccc2c1C=C[C@@H]1[C@@H]2C(=O)CO[C@]12C[C@@H](C)CO2,O=C1c2c(O)cc(O)cc2O[C@@H](c2ccc(O)c(O)c2)[C@H]1O,0
CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCC[C@@]2(C)O,0
O=C(O)[C@@H]1Cc2ccc(O)c3c2C(=Cc2ccc(O)c(O)c2O3)C1=O,O=C1CCC[C@@H]2[C@@H]3C[C@@H](CN12)[C@@H]1CCCCN1C3,0
O=C(O)/C=C/c1ccc(O)c2c1C[C@@H](c1ccc(O)c(O)c1)O2,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2C3=CC[C@H]4C[C@@H](O)CC[C@]4(C)[C@@H]3CC[C@@]21C)C(C)C,0
O=C1CCC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,COc1cc2oc(=O)ccc2cc1O,1
CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C,C=C1[C@@H]2C[C@]3([C@@H]4C[C@@H]5[C@]6([C@@H](O)CC[C@@]5(C)CN(CC)[C@H]46)[C@@H]3C[C@@H]2O)[C@@H]1O,1
Cc1coc2c1C(=O)c1ccc3c(c1C2=O)CCCC3(C)C,C[C@H]1CC[C@H]2N(C1)C[C@@H]1[C@H](CC[C@H]3[C@@H]4CC(=O)[C@H]5C[C@@H](O)CC[C@]5(C)[C@H]4C[C@H]31)[C@]2(C)O,1
COc1cc(O)c2c(=O)cc(-c3ccc(O)c(O)c3)oc2c1,C=C1[C@@H]2C[C@]3([C@@H]4C[C@@H]5[C@]6([C@@H](O)CC[C@@]5(C)CN(CC)[C@H]46)[C@@H]3C[C@@H]2O)[C@@H]1O,1
CC(=O)O[C@H]1[C@H](C)O[C@@H](O[C@@H]2[C@H]3C=CO[C@H](O[C@@H]4O[C@@H](CO)[C@H](O)[C@@H](O)[C@H]4O)[C@H]3[C@]3(CO)O[C@H]23)[C@H](OC(C)=O)[C@@H]1OC(=O)/C=C\c1ccccc1,[H][C@@]12C[C@H](C)CN[C@@]1([H])[C@@H](C)[C@@]1(CC[C@]3([H])C(C(=O)[C@@]4([H])[C@@]3([H])CC=C3C[C@@H](O)CC[C@]43C)=C1C)O2,1
C[C@@]12C[C@H]3O[C@@H]4O[C@@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@]34C[C@@H]1[C@@]4(COC(=O)c1ccccc1)C(=O)O2,OC[C@H]1O[C@@H](OC2=C(OC3=C(C(O)=CC(O)=C3)C2=O)C2=CC(O)=C(O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O,1
COc1cc(-c2oc3c(OC)cc(CCCO)cc3c2C=O)ccc1O,O=C1[C@H](O)CC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,0
CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C,[H][C@@]12C[C@]34O[C@@]5(O)[C@H](CC[C@@]3(C)[C@@]5([H])C[C@@H](O)[C@@]4([H])[C@]1(O)[C@@H](OC(=O)[C@H](C)CC)[C@H](O)[C@@]1([H])[C@@]2([H])CN2C[C@@H](C)CC[C@@]2([H])[C@@]1(C)O)OC(C)=O,1
O=c1cccc2n1C[C@H]1C[C@@H]2CN2CCCC[C@H]12,CO[C@@H]1O[C@]2(C)CC(=O)[C@H]3C[C@]2(O)[C@]31COC(=O)c1ccccc1,0
C=C1CCCc2c1ccc1c2C(=O)C(=O)c2c(C)coc2-1,[H][C@@]12C[C@]34O[C@@]5(O)[C@H](CC[C@@]3(C)[C@@]5([H])C[C@@H](O)[C@@]4([H])[C@]1(O)[C@@H](OC(=O)[C@H](C)CC)[C@H](O)[C@@]1([H])[C@@]2([H])CN2C[C@@H](C)CC[C@@]2([H])[C@@]1(C)O)OC(C)=O,1
CC(=O)C1=C[C@@H]2C=CC3=C(CCCC3(C)C)[C@H]2C=C1O,C[C@H]1CC[C@H]2N(C1)C[C@@H]1[C@H](CC[C@H]3[C@@H]4CC(=O)[C@H]5C[C@@H](O)CC[C@]5(C)[C@H]4C[C@H]31)[C@]2(C)O,1
O=C1CC=C[C@@H]2[C@H]3CCCN4CCC[C@H](CN12)[C@H]34,C[C@H]1CC[C@@H]2N(C1)C[C@@H]1[C@H](CC[C@H]3[C@@H]4C[C@H](O)[C@H]5C[C@@H](O)CC[C@]5(C)[C@H]4C[C@H]31)[C@]2(C)O,1
O=C(O)[C@H]1O[C@@H](Oc2cc3oc(-c4ccccc4)cc(=O)c3c(O)c2O)[C@H](O)[C@@H](O)[C@@H]1O,O=C1CCCC2=C3CCCN4CCC[C@@H](CN12)[C@@H]34,0
C/C=C(/C)C(=O)O[C@H]1c2cc(OC)c(OC)c(OC)c2[C@H]2C(OC)=C3OCOC3=C/C2=C/[C@H](C)[C@]1(C)O,CO[C@@]12C[C@]3(C)O[C@H](O1)[C@]1(COC(=O)c4ccccc4)[C@H]2C[C@]31O,0
CC(C)c1cc2c(cc1O)[C@]1(C)CCCC(C)(C)[C@@H]1CC2=O,CC(C)c1cc2c(cc1O)[C@]1(C)CCCC(C)(C)[C@@H]1CC2=O,0
Cc1cc2ccc3c(c2cc(O)c1=O)CCCC3(C)C,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C,0
C=C1CC[C@H]2[C@@](C)(CC[C@@H](O)[C@@]2(C)CO)[C@@H]1C[C@H](C1=CCOC1=O)S(=O)(=O)O,O=C1C=CC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,0
CCCCCCCCCCCC(=O)O[C@@]12C[C@@H](C)[C@]34C=C(C)[C@H](OC(=O)[C@@H](C)C(C)C)[C@@]3(O)[C@H](O)C(C)=C[C@@H](C4=O)[C@@H]1C2(C)C,CC1(C)C=Cc2cc([C@@H]3CC(=O)c4ccc5c(c4O3)C=CC(C)(C)O5)ccc2O1,1
CC(C)=CCC[C@@H](C)[C@@H]1CC[C@]2(C)C3=C(CC[C@@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3,CC1(C)C=Cc2cc([C@@H]3CC(=O)c4ccc5c(c4O3)C=CC(C)(C)O5)ccc2O1,1
CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C,C=C(C)[C@H](CCC(C)(C)O)Cc1c(O)cc(O)c2c1O[C@H](c1ccc(O)cc1O)CC2=O,0
COc1cc(O[C@H]2O[C@H](CO[C@H]3OC[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H](O)[C@@H]2O)c2c(=O)cc(-c3ccc(O)cc3)oc2c1,COc1c(CC=C(C)C)c(O)cc2c1C[C@H](c1ccc(O)cc1O)CO2,1
CC1=CCCc2c1ccc1c2C(=O)C(=O)C2=C1OC[C@H]2C,C/C=C/CC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](/C=C(\C)C(=O)OC)C2(C)C)CC1=O,0
CC[C@H](CC[C@H](C)[C@@H]1CC[C@@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@@H]3CC[C@]12C)C(C)C,Cc1ccc2c3c4c(ccc13)C(C)(C)OC4=C(C(C)C)C2=O,0
COc1ccc([C@H]2Oc3cc(O[C@@H]4O[C@H](CO[C@@H]5OC[C@@H](O)[C@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)ccc3C(=O)[C@@H]2O)cc1,C[C@]12C[C@]3(O)O[C@H](O1)[C@@]1(COC(=O)c4ccccc4)[C@@H]3C[C@@]21O[C@H]1O[C@@H](COC(=O)c2ccccc2)[C@H](O)[C@@H](O)[C@@H]1O,0
CC(C)=CCC[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O)CC[C@@]45C[C@@]35CC[C@]12C,C[C@H]1CC[C@H]2[C@H](C)[C@@H]3CC[C@H]4[C@@H]5CC(=O)[C@H]6C[C@@H](O)CC[C@]6(C)[C@@H]5C[C@H]4[C@@H]3CN2C1,0
Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCC[C@@]2(O)CO,CO[C@@]12C[C@]3(C)O[C@H](O1)[C@]1(COC(=O)c4ccccc4)[C@H]2C[C@]31O,0
CC(C)=CCC[C@](C)(O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@@H]3CC[C@]12C,COc1ccc(-c2coc3cc(O[C@@H]4O[C@H](CO[C@@H]5OC[C@@H](O)[C@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@@H]4O)ccc3c2=O)cc1,0
O=C(O)[C@@H]1Cc2ccc(O)c3c2C(=Cc2ccc(O)c(O)c2O3)C1=O,C[C@]12C[C@]3(O)O[C@H](O1)[C@@]1(COC(=O)c4ccccc4)[C@@H]3C[C@@]21O[C@H]1O[C@@H](COC(=O)c2ccccc2)[C@H](O)[C@@H](O)[C@@H]1O,0
CCCCC/C=C/C/C=C/C/C=C/C/C=C/CCCC(=O)O,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,0
CC(C)=CCC[C@@H](C)[C@@H]1CC[C@]2(C)C3=C(CC[C@@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3,CC1(C)C=Cc2c(ccc([C@@H]3COc4cc(O)cc(O)c4C3=O)c2O)O1,1
O=C(O)[C@H]1O[C@@H](Oc2cc3oc(-c4ccccc4)cc(=O)c3c(O)c2O)[C@H](O)[C@@H](O)[C@@H]1O,COc1ccc(/C=C/c2cc(O)cc(O[C@@H]3O[C@H](O)[C@@H](O)[C@H](O)[C@H]3O)c2)cc1O,1
C/C=C(/C)C(=O)O[C@H]1c2cc(OC)c(OC)c(OC)c2[C@H]2C(OC)=C3OCOC3=C/C2=C/[C@H](C)[C@]1(C)O,O=C1[C@@H](O)CC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,0
C[C@H]1COC2=C1C(=O)C(=O)c1c2ccc2c1CCCC2(C)C,C[C@]12CC(=O)[C@@H]3C[C@@]1(O)O[C@H](O2)[C@@H]3COC(=O)c1ccccc1,0
CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,[H]OC([H])(C([H])([H])[H])C(O[H])(C(=O)O[C@@]1([H])C([H])([H])C([H])([H])[C@@]2(C([H])([H])[H])[C@]3([H])C([H])([H])[C@@]([H])(OC(=O)C([H])([H])[H])[C@@]4([H])[C@@]5(O[H])[C@@]([H])(C([H])([H])[C@]24O[C@]13O[H])[C@]1([H])C([H])([H])N2C([H])([H])[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[C@@]2([H])C(O[H])(C([H])([H])[H])[C@@]1([H])[C@@]([H])(O[H])[C@]5([H])OC(=O)C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])[H],1
CC1(C)CCC(=O)[C@@H]2C1=CC=C1C(=O)C=C(O)C(=O)[C@@H]12,O=C1CCC[C@@H]2[C@H]3C[C@H](O)CN4CCC[C@@](O)(CN12)[C@@H]34,0
CC1(C)CCC(=O)[C@@H]2C1=CC=C1C(=O)C=C(O)C(=O)[C@@H]12,CCCCCCCC/C=C\CCCCCCCC(=O)OCC,0
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OCC,COc1cc(O)c(-c2c(O)cc(OC)c3c2ccc2cc(O)ccc23)c2ccc3cc(O)ccc3c12,0
Cc1cccc2c3c(ccc12)C(=O)C1=C(OC[C@H](C)[C@@]1(C)CO)C3=O,O=C1CC=C[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,0
Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CC[C@H](O)[C@]2(C)O,C=C1CC[C@H]2[C@@](C)(CC[C@@H](O)[C@@]2(C)CO)[C@@H]1C[C@H](C1=CCOC1=O)S(=O)(=O)O,0
CC(C)=CCC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3,CC1(C)C=Cc2c(O)ccc(-c3cc4ccc(O)cc4o3)c2O1,1
O=c1oc2ccccc2c2oc3ccccc3c(=O)c12,O=C1CCC[C@@H]2[C@H]3C[C@H](O)CN4CCC[C@@H](CN12)[C@@H]34,0
C[C@]1(OC(=O)/C=C/c2ccccc2)C[C@@H](O)[C@]2(O)C=CO[C@H](O)[C@H]12,CCCC1=C2NC(CCC)(CCC)C[C@@H]2NC(CCC)(CCC)C1=O,0
CC(=O)O[C@H]1[C@H](C)O[C@@H](O[C@@H]2[C@H]3C=CO[C@H](O[C@@H]4O[C@@H](CO)[C@H](O)[C@@H](O)[C@H]4O)[C@H]3[C@]3(CO)O[C@H]23)[C@H](OC(C)=O)[C@@H]1OC(=O)/C=C\c1ccccc1,COc1cc2oc(=O)ccc2cc1O,1
C[C@]1(OC(=O)/C=C/c2ccccc2)C[C@@H](O)[C@]2(O)C=CO[C@H](O)[C@H]12,[H][C@]12CC[C@H](C)CN1[C@@]1([H])C[C@@]3([H])[C@]4([H])CC=C5C[C@@H](O)CC[C@]5(C)[C@@]4([H])C[C@H](O)[C@]3(C)[C@@]1([H])[C@@H]2C,1
COC(=O)C1=CO[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2[C@H]1[C@@H](OC(=O)c1cc(OC)c(O)c(OC)c1)C[C@]2(C)OC(C)=O,C[C@@]12C[C@@]3(O)O[C@@H](O1)[C@]1(COC(=O)c4ccccc4)[C@H]3C[C@]21O,0
O=c1ccc2c(-c3c(O)c(O)cc4oc(=O)ccc34)c(O)c(O)cc2o1,CC(C)=CCc1cc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc(O)c1O,1
O=C1CCC[C@@H]2[C@@H]3CCCN4CCC[C@H](CN12)[C@H]34,OC[C@H]1O[C@@H](OC2=C(OC3=C(C(O)=CC(O)=C3)C2=O)C2=CC(O)=C(O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O,1
COC(=O)C[C@](O)(CCC(C)C)C(=O)O[C@@H]1C(OC)=C[C@@]23CCCN2CCc2cc4c(cc2[C@H]13)OCO4,CC(C)=CCc1c(O)cc(O)c2c(=O)c(O)c(-c3ccc(O)cc3)oc12,0
O=C1[C@H](O)CC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,[H][C@@]12C[C@]34O[C@@]5(O)[C@H](CC[C@@]3(C)[C@@]5([H])C[C@@H](O)[C@@]4([H])[C@]1(O)[C@@H](OC(=O)[C@H](C)CC)[C@H](O)[C@@]1([H])[C@@]2([H])CN2C[C@@H](C)CC[C@@]2([H])[C@@]1(C)O)OC(C)=O,1
O=C(O)/C=C/c1ccc(O)c(O)c1/C=C/c1ccc(O)c(O)c1,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2C3=CC[C@H]4C[C@@H](O)CC[C@]4(C)[C@@H]3CC[C@@]21C)C(C)C,0
Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CC[C@@H](O)[C@@]2(C)O,O=C1CC=C[C@@H]2[C@H]3CCCN4CCC[C@H](CN12)[C@H]34,0
Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CC[C@H](O)[C@]2(C)O,CC(C)=CCC[C@]1(C)[C@@H](CC=C(C)C)C[C@@]2(CC=C(C)C)C(=O)[C@]1(C(=O)C(C)C)C(=O)C(CC=C(C)C)=C2O,0
CC[C@@H](/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C,COc1cc2c(cc1OC)C(=O)Cc1ccc3c(c1CN(C)CC2)OCO3,0
CC(C)=CCc1c(O)cc(O)c2c(=O)c(O)c(-c3ccc(O)cc3)oc12,CC(C)=CCc1c(O)cc(O)c2c1O[C@@H](c1ccc(O)c(O)c1)CC2=O,1
COc1cc(O)c2c(=O)c3c(OC)c(O)ccc3oc2c1,COc1ccc(-c2coc3cc(O)c(CC=C(C)C)c(O)c3c2=O)cc1,1
O=C1CCCC2=C3CCCN4CCC[C@@H](CN12)[C@@H]34,C[C@@]12CC(=O)[C@H]3C[C@]1(O)O[C@@H](O2)[C@@H]3COC(=O)c1ccccc1,0
O=C1C=CC[C@@H]2[C@H]3C[C@H](O)CN4CCC[C@@H](CN12)[C@@H]34,C[C@@]12C[C@@]3(O)O[C@@H](O1)[C@]1(COC(=O)c4ccccc4)[C@H]3C[C@]21O[C@@H]1O[C@@H](COC(=O)c2ccccc2)[C@@H](O)[C@@H](O)[C@@H]1O,0
C=C(C)[C@@]12O[C@@]3(/C=C/C=C/CCCCC)O[C@@H]1[C@@H]1[C@@H]4O[C@]4(CO)[C@H](O)[C@]4(O)C(=O)C(C)=C[C@@H]4[C@@]1(O3)[C@H](C)[C@H]2OC(=O)c1ccccc1,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2OC)ccc1O,1
CC1(C)C=Cc2c(ccc3c2OC[C@@]2(O)c4ccc(O)cc4O[C@@H]32)O1,O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12,0
CCCC1=C2NC(CCC)(CCC)C[C@@H]2NC(CCC)(CCC)C1=O,OC[C@H]1O[C@@H](OC2=C(OC3=C(C(O)=CC(O)=C3)C2=O)C2=CC(O)=C(O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O,1
